Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,Boaz,AL,35957,MARSHALL,6 out of 10,0 out of 9,6 out of 10,7 out of 10,0 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,7 out of 10,0 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,7 out of 10,3 out of 9,7 out of 10,5 out of 10,0 out of 9,5 out of 10,45,20,"2505 U S HIGHWAY 431 NORTH
Boaz, AL 35957
"
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,Fort Payne,AL,35968,DE KALB,4 out of 10,2 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,5 out of 9,5 out of 10,6 out of 10,7 out of 9,7 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,5 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,31,20,"200 MED CENTER DRIVE
Fort Payne, AL 35968
"
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,Wedowee,AL,36278,RANDOLPH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"209 NORTH MAIN STREET
Wedowee, AL 36278
"
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,Huntsville,AL,35801,MADISON,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,8,16,"ONE HOSPITAL DR SE
Huntsville, AL 35801
"
20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,Anchorage,AK,99508,ANCHORAGE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,5 out of 10,1 out of 9,5 out of 10,3 out of 10,1 out of 9,3 out of 10,11,17,"BOX 196604
Anchorage, AK 99508
"
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,Bethel,AK,99559,BETHEL,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,8,9,"PO BOX 287
Bethel, AK 99559
"
30014,JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,Scottsdale,AZ,85258,MARICOPA,1 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,5 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,19,16,"250 EAST DUNLAP AVENUE
Scottsdale, AZ 85258
"
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,Ft. Defiance,AZ,86504,APACHE,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,5 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,17,10,"PO BOX 649
Ft. Defiance, AZ 86504
"
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,Tuba City,AZ,86045,COCONINO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,6,7,"PO BOX 600
Tuba City, AZ 86045
"
30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,Scottsdale,AZ,85258,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,6 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,8,13,"19829 NORTH 27TH AVENUE
Scottsdale, AZ 85258
"
