St,fips,county,lat,long
AL,1001,Autauga,32.536382,-86.64449
AL,1003,Baldwin,30.659218,-87.746067
AL,1005,Barbour,31.87067,-85.405456
AL,1007,Bibb,33.015893,-87.127148
AL,1009,Blount,33.977448,-86.567246
AL,1011,Bullock,32.101759,-85.717261
AL,1013,Butler,31.751667,-86.681969
AL,1015,Calhoun,33.771706,-85.822513
AL,1017,Chambers,32.917943,-85.391812
AL,1019,Cherokee,34.069515,-85.654242
AL,1021,Chilton,32.85406,-86.726628
AL,1023,Choctaw,31.991008,-88.248887
AL,1025,Clarke,31.685521,-87.818624
AL,1027,Clay,33.267809,-85.862051
AL,1029,Cleburne,33.671981,-85.516109
AL,1031,Coffee,31.402183,-85.989201
AL,1033,Colbert,34.703112,-87.801457
AL,1035,Conecuh,31.428293,-86.992029
AL,1037,Coosa,32.931445,-86.243482
AL,1039,Covington,31.243987,-86.448721
AL,1041,Crenshaw,31.732826,-86.319222
AL,1043,Cullman,34.131923,-86.869267
AL,1045,Dale,31.430654,-85.609476
AL,1047,Dallas,32.33354,-87.114356
AL,1049,DeKalb,34.460929,-85.803992
AL,1051,Elmore,32.597229,-86.142739
AL,1053,Escambia,31.121748,-87.168429
AL,1055,Etowah,34.047638,-86.03442
AL,1057,Fayette,33.732249,-87.752049
AL,1059,Franklin,34.441988,-87.842815
AL,1061,Geneva,31.090866,-85.824346
AL,1063,Greene,32.844497,-87.964201
AL,1065,Hale,32.752796,-87.623061
AL,1067,Henry,31.516978,-85.239971
AL,1069,Houston,31.158193,-85.296398
AL,1071,Jackson,34.763522,-85.9774
AL,1073,Jefferson,33.553444,-86.896536
AL,1075,Lamar,33.787085,-88.087431
AL,1077,Lauderdale,34.904122,-87.650997
AL,1079,Lawrence,34.529776,-87.321865
AL,1081,Lee,32.604064,-85.353048
AL,1083,Limestone,34.810239,-86.9814
AL,1085,Lowndes,32.147888,-86.650586
AL,1087,Macon,32.387027,-85.692887
AL,1089,Madison,34.764238,-86.55108
AL,1091,Marengo,32.247591,-87.791091
AL,1093,Marion,34.138219,-87.881551
AL,1095,Marshall,34.309564,-86.321668
AL,1097,Mobile,30.684573,-88.196568
AL,1099,Monroe,31.580332,-87.383266
AL,1101,Montgomery,32.203651,-86.203831
AL,1103,Morgan,34.454484,-86.846402
AL,1105,Perry,32.639005,-87.293827
AL,1107,Pickens,33.296809,-88.096878
AL,1109,Pike,31.798726,-85.941997
AL,1111,Randolph,33.296475,-85.464068
AL,1113,Russell,32.289811,-85.18698
AL,1115,St. Clair,33.712963,-86.315663
AL,1117,Shelby,33.262937,-86.678104
AL,1119,Sumter,32.597481,-88.200057
AL,1121,Talladega,33.369277,-86.175805
AL,1123,Tallapoosa,32.863369,-85.799553
AL,1125,Tuscaloosa,33.290202,-87.52286
AL,1127,Walker,33.791571,-87.301092
AL,1129,Washington,31.406974,-88.202078
AL,1131,Wilcox,31.99033,-87.302205
AL,1133,Winston,34.155888,-87.364147
AK,2013,Aleutians East,55.243722,-161.950749
AK,2016,Aleutians West[4],51.959447,178.338813
AK,2020,Anchorage,61.177549,-149.274354
AK,2050,Bethel [4],60.928916,-160.15335
AK,2060,Bristol Bay,58.731373,-156.986612
AK,2068,Denali,63.682732,-150.026719
AK,2070,Dillingham [4],59.824816,-158.602233
AK,2090,Fairbanks North Star,64.690832,-146.599867
AK,2100,Haines,59.099905,-135.578102
AK,2105,Hoonah-Angoon [4],58.076434,-135.1851
AK,2110,Juneau,58.3727,-134.178781
AK,2122,Kenai Peninsula,60.366373,-152.321973
AK,2130,Ketchikan Gateway,55.449938,-131.106685
AK,2150,Kodiak Island,57.553611,-153.630911
AK,2164,Lake and Peninsula,58.205065,-156.705188
AK,2170,Matanuska-Susitna,62.182174,-149.407974
AK,2180,Nome [4],64.783686,-164.188912
AK,2185,North Slope,69.449343,-153.47283
AK,2188,Northwest Arctic,67.005066,-160.021086
AK,2195,Petersburg [4],56.639612,-133.527996
AK,2198,Prince of Wales-Hyder [4],55.415683,-132.875734
AK,2220,Sitka,57.142509,-135.332624
AK,2230,Skagway,59.575097,-135.335418
AK,2240,Southeast Fairbanks [4],63.864997,-143.218628
AK,2261,Valdez-Cordova[4],61.34984,-145.023141
AK,2270,Wade Hampton[4],62.283174,-163.19095
AK,2275,Wrangell,56.279121,-132.040326
AK,2282,Yakutat,59.999083,-140.239593
AK,2290,Yukon-Koyukuk[4],65.376131,-151.576855
AZ,4001,Apache,35.385845,-109.493747
AZ,4003,Cochise,31.881793,-109.75412
AZ,4005,Coconino,35.829692,-111.773728
AZ,4007,Gila,33.789618,-110.81187
AZ,4009,Graham,32.931828,-109.87831
AZ,4011,Greenlee,33.238872,-109.242323
AZ,4012,La Paz,33.727625,-114.038793
AZ,4013,Maricopa,33.346541,-112.495534
AZ,4015,Mohave,35.717705,-113.749689
AZ,4017,Navajo,35.390934,-110.320908
AZ,4019,Pima,32.128237,-111.783018
AZ,4021,Pinal,32.91891,-111.367257
AZ,4023,Santa Cruz,31.525904,-110.84519
AZ,4025,Yavapai,34.630044,-112.573745
AZ,4027,Yuma,32.773942,-113.910905
AR,5001,Arkansas,34.289574,-91.376547
AR,5003,Ashley,33.190835,-91.772267
AR,5005,Baxter,36.28071,-92.330438
AR,5007,Benton,36.337825,-94.256187
AR,5009,Boone,36.304308,-93.079204
AR,5011,Bradley,33.463819,-92.168164
AR,5013,Calhoun,33.56046,-92.513879
AR,5015,Carroll,36.337774,-93.541663
AR,5017,Chicot,33.267139,-91.297158
AR,5019,Clark,34.053312,-93.176205
AR,5021,Clay,36.367302,-90.418704
AR,5023,Cleburne,35.566288,-92.059974
AR,5025,Cleveland,33.893201,-92.188714
AR,5027,Columbia,33.21507,-93.226901
AR,5029,Conway,35.265702,-92.689248
AR,5031,Craighead,35.828268,-90.630411
AR,5033,Crawford,35.583041,-94.236224
AR,5035,Crittenden,35.211878,-90.315331
AR,5037,Cross,35.291259,-90.773894
AR,5039,Dallas,33.967823,-92.653999
AR,5041,Desha,33.828748,-91.244427
AR,5043,Drew,33.587242,-91.722778
AR,5045,Faulkner,35.146356,-92.324654
AR,5047,Franklin,35.508573,-93.887672
AR,5049,Fulton,36.383443,-91.819239
AR,5051,Garland,34.578861,-93.146915
AR,5053,Grant,34.288063,-92.423984
AR,5055,Greene,36.119922,-90.565241
AR,5057,Hempstead,33.728611,-93.665809
AR,5059,Hot Spring,34.315177,-92.944147
AR,5061,Howard,34.083179,-93.990988
AR,5063,Independence,35.737499,-91.559942
AR,5065,Izard,36.094879,-91.913625
AR,5067,Jackson,35.596605,-91.223178
AR,5069,Jefferson,34.277696,-91.930701
AR,5071,Johnson,35.573359,-93.466322
AR,5073,Lafayette,33.24066,-93.611643
AR,5075,Lawrence,36.041098,-91.101153
AR,5077,Lee,34.77975,-90.779288
AR,5079,Lincoln,33.957665,-91.727624
AR,5081,Little River,33.699497,-94.229774
AR,5083,Logan,35.21855,-93.720563
AR,5085,Lonoke,34.755114,-91.894132
AR,5087,Madison,36.012545,-93.724053
AR,5089,Marion,36.266656,-92.678588
AR,5091,Miller,33.305505,-93.901509
AR,5093,Mississippi,35.766943,-90.052209
AR,5095,Monroe,34.679513,-91.203314
AR,5097,Montgomery,34.545652,-93.664147
AR,5099,Nevada,33.666699,-93.305072
AR,5101,Newton,35.910063,-93.215084
AR,5103,Ouachita,33.591158,-92.878418
AR,5105,Perry,34.946363,-92.926877
AR,5107,Phillips,34.425842,-90.848386
AR,5109,Pike,34.158191,-93.658659
AR,5111,Poinsett,35.568981,-90.680595
AR,5113,Polk,34.490915,-94.230884
AR,5115,Pope,35.455297,-93.031535
AR,5117,Prairie,34.828225,-91.5572
AR,5119,Pulaski,34.773988,-92.316515
AR,5121,Randolph,36.341299,-91.028441
AR,5123,St. Francis,35.014438,-90.742199
AR,5125,Saline,34.648525,-92.674463
AR,5127,Scott,34.858869,-94.063641
AR,5129,Searcy,35.90966,-92.699351
AR,5131,Sebastian,35.196981,-94.274989
AR,5133,Sevier,33.994608,-94.24329
AR,5135,Sharp,36.173399,-91.471069
AR,5137,Stone,35.856989,-92.140494
AR,5139,Union,33.168219,-92.598145
AR,5141,Van Buren,35.582959,-92.515977
AR,5143,Washington,35.971209,-94.218417
AR,5145,White,35.254722,-91.753158
AR,5147,Woodruff,35.189071,-91.244418
AR,5149,Yell,34.997713,-93.408303
CA,6001,Alameda,37.648081,-121.913304
CA,6003,Alpine,38.61761,-119.798999
CA,6005,Amador,38.44355,-120.653856
CA,6007,Butte,39.665959,-121.601919
CA,6009,Calaveras,38.187844,-120.555115
CA,6011,Colusa,39.177739,-122.237563
CA,6013,Contra Costa,37.919479,-121.951543
CA,6015,Del Norte,41.749903,-123.980998
CA,6017,El Dorado,38.785532,-120.534398
CA,6019,Fresno,36.761006,-119.655019
CA,6021,Glenn,39.602546,-122.4017
CA,6023,Humboldt,40.706673,-123.925818
CA,6025,Imperial,33.040816,-115.355395
CA,6027,Inyo,36.561977,-117.403927
CA,6029,Kern,35.346629,-118.729506
CA,6031,Kings,36.072478,-119.81553
CA,6033,Lake,39.094802,-122.746757
CA,6035,Lassen,40.721089,-120.629931
CA,6037,Los Angeles,34.196398,-118.261862
CA,6039,Madera,37.210039,-119.749852
CA,6041,Marin,38.051817,-122.745974
CA,6043,Mariposa,37.570034,-119.91286
CA,6045,Mendocino,39.432388,-123.442881
CA,6047,Merced,37.194806,-120.722802
CA,6049,Modoc,41.592919,-120.71837
CA,6051,Mono,37.915836,-118.875167
CA,6053,Monterey,36.240107,-121.315573
CA,6055,Napa,38.507351,-122.325995
CA,6057,Nevada,39.295191,-120.773446
CA,6059,Orange,33.675687,-117.777207
CA,6061,Placer,39.062032,-120.722718
CA,6063,Plumas,39.99517,-120.829516
CA,6065,Riverside,33.729828,-116.002239
CA,6067,Sacramento,38.450011,-121.340441
CA,6069,San Benito,36.610702,-121.085296
CA,6071,San Bernardino,34.85722,-116.181197
CA,6073,San Diego,33.023604,-116.776117
CA,6075,San Francisco,37.727239,-123.032229
CA,6077,San Joaquin,37.935034,-121.272237
CA,6079,San Luis Obispo,35.385227,-120.44754
CA,6081,San Mateo,37.414664,-122.371542
CA,6083,Santa Barbara,34.537378,-120.038485
CA,6085,Santa Clara,37.220777,-121.690622
CA,6087,Santa Cruz,37.012488,-122.007205
CA,6089,Shasta,40.760522,-122.04355
CA,6091,Sierra,39.576925,-120.521993
CA,6093,Siskiyou,41.587986,-122.533287
CA,6095,Solano,38.267226,-121.939594
CA,6097,Sonoma,38.532574,-122.945194
CA,6099,Stanislaus,37.562384,-121.002656
CA,6101,Sutter,39.035257,-121.702758
CA,6103,Tehama,40.126156,-122.232276
CA,6105,Trinity,40.647724,-123.114404
CA,6107,Tulare,36.230453,-118.780542
CA,6109,Tuolumne,38.021451,-119.964708
CA,6111,Ventura,34.358742,-119.133143
CA,6113,Yolo,38.679268,-121.903178
CA,6115,Yuba,39.270026,-121.34428
CO,8001,Adams,39.874325,-104.331872
CO,8003,Alamosa,37.568442,-105.788041
CO,8005,Arapahoe,39.644632,-104.331733
CO,8007,Archuleta,37.202395,-107.050863
CO,8009,Baca,37.303144,-102.535457
CO,8011,Bent,37.931891,-103.077584
CO,8013,Boulder,40.094826,-105.398382
CO,8014,Broomfield,39.953383,-105.052125
CO,8015,Chaffee,38.738246,-106.316972
CO,8017,Cheyenne,38.835387,-102.604585
CO,8019,Clear Creek,39.689403,-105.670791
CO,8021,Conejos,37.213407,-106.176447
CO,8023,Costilla,37.277547,-105.42894
CO,8025,Crowley,38.321956,-103.787562
CO,8027,Custer,38.101994,-105.373515
CO,8029,Delta,38.861756,-107.864757
CO,8031,Denver,39.761849,-104.880625
CO,8033,Dolores,37.747602,-108.530383
CO,8035,Douglas,39.326435,-104.926199
CO,8037,Eagle,39.630638,-106.692944
CO,8039,Elbert,39.310817,-104.117928
CO,8041,El Paso,38.827383,-104.527472
CO,8043,Fremont,38.455658,-105.421438
CO,8045,Garfield,39.599352,-107.90978
CO,8047,Gilpin,39.861082,-105.528947
CO,8049,Grand,40.123289,-106.095876
CO,8051,Gunnison,38.669679,-107.078108
CO,8053,Hinsdale,37.811625,-107.383405
CO,8055,Huerfano,37.687815,-104.959928
CO,8057,Jackson,40.663432,-106.329248
CO,8059,Jefferson,39.58646,-105.245601
CO,8061,Kiowa,38.388466,-102.75621
CO,8063,Kit Carson,39.30534,-102.603023
CO,8065,Lake,39.204316,-106.349696
CO,8067,La Plata,37.287367,-107.839718
CO,8069,Larimer,40.663091,-105.482131
CO,8071,Las Animas,37.318831,-104.04411
CO,8073,Lincoln,38.99374,-103.507555
CO,8075,Logan,40.728091,-103.090464
CO,8077,Mesa,39.019492,-108.461837
CO,8079,Mineral,37.651478,-106.9323
CO,8081,Moffat,40.573984,-108.204521
CO,8083,Montezuma,37.338025,-108.595786
CO,8085,Montrose,38.413427,-108.263042
CO,8087,Morgan,40.262354,-103.807092
CO,8089,Otero,37.88417,-103.72126
CO,8091,Ouray,38.1506,-107.767133
CO,8093,Park,39.118914,-105.717648
CO,8095,Phillips,40.594712,-102.345105
CO,8097,Pitkin,39.217533,-106.915943
CO,8099,Prowers,37.958181,-102.392161
CO,8101,Pueblo,38.170658,-104.489893
CO,8103,Rio Blanco,39.972606,-108.200685
CO,8105,Rio Grande,37.485763,-106.453214
CO,8107,Routt,40.48316,-106.985289
CO,8109,Saguache,38.033952,-106.246675
CO,8111,San Juan,37.781075,-107.670257
CO,8113,San Miguel,38.009374,-108.427326
CO,8115,Sedgwick,40.871568,-102.355358
CO,8117,Summit,39.621023,-106.137555
CO,8119,Teller,38.871994,-105.182552
CO,8121,Washington,39.965413,-103.209605
CO,8123,Weld,40.555794,-104.383649
CO,8125,Yuma,40.000631,-102.422649
CT,9001,Fairfield [6],41.228103,-73.366757
CT,9003,Hartford [6],41.806053,-72.732916
CT,9005,Litchfield [6],41.791897,-73.235428
CT,9007,Middlesex [6],41.434525,-72.524227
CT,9009,New Haven [6],41.349717,-72.900204
CT,9011,New London [6],41.47863,-72.103452
CT,9013,Tolland [6],41.858076,-72.340977
CT,9015,Windham [6],41.824999,-71.990702
DE,10001,Kent,39.097088,-75.502982
DE,10003,New Castle,39.575915,-75.644132
DE,10005,Sussex,38.677511,-75.335495
DC,11001,District of Columbia [7],38.904149,-77.017094
FL,12001,Alachua,29.67574,-82.357221
FL,12003,Baker,30.324442,-82.302284
FL,12005,Bay,30.237563,-85.631348
FL,12007,Bradford,29.946934,-82.166796
FL,12009,Brevard,28.298276,-80.700384
FL,12011,Broward,26.19352,-80.476658
FL,12013,Calhoun,30.388801,-85.197916
FL,12015,Charlotte,26.868826,-81.940858
FL,12017,Citrus,28.843628,-82.524796
FL,12019,Clay,29.987116,-81.858147
FL,12021,Collier,26.118713,-81.400884
FL,12023,Columbia,30.221305,-82.623127
FL,12027,DeSoto,27.190581,-81.806253
FL,12029,Dixie,29.580899,-83.195666
FL,12031,Duval,30.335245,-81.648113
FL,12033,Escambia,30.611664,-87.33904
FL,12035,Flagler,29.474894,-81.286362
FL,12037,Franklin,29.810176,-84.799174
FL,12039,Gadsden,30.57917,-84.612783
FL,12041,Gilchrist,29.723456,-82.795801
FL,12043,Glades,26.95481,-81.19082
FL,12045,Gulf,29.907257,-85.256537
FL,12047,Hamilton,30.491102,-82.951049
FL,12049,Hardee,27.492846,-81.82158
FL,12051,Hendry,26.53934,-81.151584
FL,12053,Hernando,28.567911,-82.464835
FL,12055,Highlands,27.342627,-81.340921
FL,12057,Hillsborough,27.90659,-82.349568
FL,12059,Holmes,30.866222,-85.812959
FL,12061,Indian River,27.700638,-80.574803
FL,12063,Jackson,30.787812,-85.210374
FL,12065,Jefferson,30.424558,-83.890859
FL,12067,Lafayette,29.990066,-83.17851
FL,12069,Lake,28.764113,-81.712282
FL,12071,Lee,26.552134,-81.89225
FL,12073,Leon,30.45931,-84.2778
FL,12075,Levy,29.284409,-82.783483
FL,12077,Liberty,30.259849,-84.868581
FL,12079,Madison,30.447228,-83.470437
FL,12081,Manatee,27.481386,-82.365784
FL,12083,Marion,29.202805,-82.0431
FL,12085,Martin,27.079954,-80.398211
FL,12086,Miami-Dade,25.610494,-80.499045
FL,12087,Monroe,25.601043,-81.206777
FL,12089,Nassau,30.605926,-81.764929
FL,12091,Okaloosa,30.665858,-86.594194
FL,12093,Okeechobee,27.385592,-80.887388
FL,12095,Orange,28.514435,-81.323295
FL,12097,Osceola,28.059027,-81.139312
FL,12099,Palm Beach,26.645763,-80.448673
FL,12101,Pasco,28.302024,-82.455707
FL,12103,Pinellas,27.903122,-82.739518
FL,12105,Polk,27.953115,-81.692783
FL,12107,Putnam,29.606006,-81.740894
FL,12109,St. Johns,29.890593,-81.383914
FL,12111,St. Lucie,27.380775,-80.443364
FL,12113,Santa Rosa,30.703633,-87.014255
FL,12115,Sarasota,27.184386,-82.365835
FL,12117,Seminole,28.690079,-81.13198
FL,12119,Sumter,28.714294,-82.074715
FL,12121,Suwannee,30.189244,-82.992754
FL,12123,Taylor,30.016943,-83.616417
FL,12125,Union,30.05428,-82.366918
FL,12127,Volusia,29.057617,-81.161813
FL,12129,Wakulla,30.140378,-84.375136
FL,12131,Walton,30.631211,-86.176614
FL,12133,Washington,30.602217,-85.662797
GA,13001,Appling,31.739712,-82.290103
GA,13003,Atkinson,31.300562,-82.883614
GA,13005,Bacon,31.563327,-82.387859
GA,13007,Baker,31.319622,-84.454857
GA,13009,Baldwin,33.059532,-83.255362
GA,13011,Banks,34.351922,-83.498441
GA,13013,Barrow,33.992009,-83.712303
GA,13015,Bartow,34.240918,-84.838188
GA,13017,Ben Hill,31.740776,-83.14719
GA,13019,Berrien,31.274308,-83.231906
GA,13021,Bibb,32.808844,-83.694193
GA,13023,Bleckley,32.435403,-83.331717
GA,13025,Brantley,31.197334,-81.982978
GA,13027,Brooks,30.833696,-83.588971
GA,13029,Bryan,32.017969,-81.438543
GA,13031,Bulloch,32.393408,-81.74381
GA,13033,Burke,33.063737,-82.00389
GA,13035,Butts,33.290355,-83.958221
GA,13037,Calhoun,31.521279,-84.62629
GA,13039,Camden,30.916358,-81.636516
GA,13043,Candler,32.403986,-82.071446
GA,13045,Carroll,33.582237,-85.080527
GA,13047,Catoosa,34.899393,-85.137353
GA,13049,Charlton,30.779904,-82.139644
GA,13051,Chatham,31.974756,-81.091768
GA,13053,Chattahoochee,32.347445,-84.788021
