skill,family,category
access,t,
accounting,nt,mn
acl,t,
activity context representation,t,
adaptive software,t,
advanced analysis,t,
advanced computing,t,
advanced excel,t,
advanced linear algebra,t,
advanced statistical analysis,t,
advertising sales,nt,mn
agile methoden,t,
agile methodologies,t,
agile project management,nt,mn
air force,nt,ot
akka,nt,ot
algorithmen,t,
algorithms,t,
amazon web services (aws),t,
analysis,t,
analysis services,t,
analytical skills,t,
analytics,t,
analytik,t,
android development,t,
anomaly detection,t,
apache,t,
apache http server,t,
apache pig,t,
apache spark,t,
apache storm,t,
applied mathematics,t,
arcgis,t,
arcgis online,t,
architecture,t,
architectures,t,
arcpy,t,
army,t,
artificial intelligence,t,
artificial neural networks,t,
asset management,nt,mn
astronomy,nt,ot
astrophysics,t,
automata theory,t,
automation,t,
automobilindustrie,t,
backtesting,t,
balanced scorecard,nt,mn
banking,t,
basic cs,t,
basic math skills,t,
bayesian networks,t,
benchmarking,nt,mn
big 4,t,
big data,t,
big data analytics,t,
big data processing platforms,t,
bioinformatics,t,
biomedical engineering,t,
blended learning,t,
blended learning solutions,t,
blockchain,t,
blogging,t,
book writing,nt,ot
brand loyalty,nt,mn
brand management,nt,mn
business acumen,nt,ot
business alliances,nt,mn
business analysis,t,
business analytics,t,
business consulting,nt,mn
business development,nt,mn
business intelligence,t,
business objects,t,
business planning,nt,mn
business process,nt,mn
business process design,nt,mn
business process improvement,nt,mn
business process management,nt,mn
business requirements,nt,mn
business rules,nt,mn
business statistics,t,
business strategy,nt,mn
business transformation,nt,mn
business writing,nt,ot
business-intelligence,t,
c,t,
c#,t,
c++,t,
career development,nt,hr
career mapping,nt,hr
change management,nt,hr
character(0),t,
chinese language teaching,nt,ot
cissp,t,
cloud computing,t,
cluster,t,
cluster analysis,t,
coaching,nt,hr
coding,t,
coding skills,t,
cognos,t,
collaborative filtering,t,
collaborative learning,nt,ss
command,t,
commenting,t,
communication,nt,co
communication skills,nt,co
community development,nt,ot
community engagement,nt,ot
community outreach,nt,ot
competitive analysis,nt,mn
competitive intelligence,t,
computational biology,t,
computational intelligence,t,
computer graphics,t,
computer science,t,
computer security,t,
computer systems,t,
computer vision,t,
computerwissenschaft,t,
computing,t,
conference speaking,nt,co
consulting,t,
consumer behavior,t,
consumer behaviour,t,
consumer internet,t,
content development,t,
context,t,
context-aware computing,t,
controlling budgets,t,
corporate communications,nt,co
corporate finance,nt,mn
corporate strategy formulation,nt,mn
corporate university,nt,hr
cosmology,t,
creative concept development,t,
creative problem solving,t,
credit derivatives,t,
crm,t,
cross-cultural communication skills,nt,co
cross-functional team leadership,nt,ss
crystal reports,t,
css,t,
cto,t,
current affairs,t,
